@RELATION instrumentClassifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {cello,acoustic guitar,clarinet,electric guitar,flute,organ,piano,piano,saxophone,violin}

@DATA
0.041227,0.025949,3.146451,0.116650,0.161348,0.281803,0.007333,0.065831,-25.018410,2.536059,-0.212640,-0.316954,-0.723867,-0.723978,-0.730646,-0.564634,-0.097542,-0.131811,0.174602,0.023905,0.021546,0.007342,0.018470,0.016823,0.012037,0.025399,0.022457,0.062367,0.003580,0.012200,0.017603,0.005342,0.004419,0.026154,0.034738,0.013802,0.094025,0.044845,0.031002,0.347061,0.006806,0.069101,1.289661,0.698445,0.555520,0.377704,0.288480,0.303082,0.287505,0.277425,0.209859,0.306783,0.289760,0.255140,0.215303,0.005382,0.010863,0.018256,0.011649,0.017125,0.015719,0.027726,0.008645,0.011728,0.018271,0.003935,0.004493,0.006920,cello
0.060203,0.017229,3.099046,0.151759,0.176700,0.491392,0.007372,0.096719,-25.428521,2.086283,0.180022,0.330389,0.089782,-0.014622,0.033222,-0.043195,-0.040085,-0.087753,0.059342,-0.011890,0.003788,0.006830,0.002068,0.042231,0.010737,0.019034,0.006918,0.168768,0.001794,0.007749,0.008602,0.029946,0.001623,0.052221,0.047050,0.018849,0.168606,0.055204,0.027089,0.442020,0.006128,0.110889,1.568409,0.696515,0.415712,0.361849,0.308194,0.260002,0.256197,0.257162,0.221969,0.250793,0.252116,0.246471,0.238688,0.008690,0.002232,0.037640,0.013569,0.017721,0.011826,0.095819,0.003197,0.011039,0.008034,0.032714,0.001892,0.023380,cello
0.043789,0.020916,3.087025,0.132573,0.169567,0.356967,0.007525,0.066254,-25.072180,2.133009,0.082183,0.359816,0.103460,0.038331,0.064645,-0.029822,-0.079572,-0.102247,0.011939,0.001369,0.051834,0.007500,0.001786,0.045949,0.012626,0.017755,0.007960,0.168203,0.002183,0.009270,0.009925,0.028242,0.001254,0.053335,0.027911,0.022123,0.218158,0.037631,0.025440,0.308206,0.005119,0.071168,1.465440,0.606056,0.497877,0.307464,0.320952,0.245793,0.270758,0.298350,0.214011,0.279795,0.254357,0.221066,0.211396,0.009778,0.002506,0.040903,0.017046,0.015887,0.010366,0.101359,0.004206,0.014137,0.010118,0.031151,0.001188,0.023716,cello
0.052288,0.022693,3.080795,0.140169,0.170729,0.439469,0.006289,0.078189,-24.505598,1.955434,0.155732,0.346207,0.054717,-0.056992,0.072379,0.040091,-0.062229,-0.140973,-0.023752,-0.044633,0.020694,0.007028,0.002968,0.046355,0.024822,0.015436,0.007217,0.147352,0.002873,0.005747,0.009355,0.027260,0.001843,0.047379,0.027989,0.020939,0.225185,0.032889,0.018577,0.329470,0.003974,0.071648,1.117415,0.520595,0.359746,0.340116,0.294785,0.274392,0.239632,0.263810,0.238526,0.262973,0.267365,0.209383,0.192190,0.006779,0.004156,0.039324,0.017259,0.010919,0.008149,0.090161,0.005148,0.007790,0.008327,0.025923,0.001929,0.021831,cello
0.060047,0.018414,3.067859,0.153032,0.176497,0.463416,0.006326,0.088473,-25.190026,2.082869,0.175024,0.382201,0.144821,0.124197,0.062395,-0.097210,-0.070751,-0.103504,0.027590,-0.004004,0.017673,0.007266,0.001494,0.045716,0.012770,0.024235,0.008885,0.163747,0.001834,0.005974,0.007727,0.028064,0.001130,0.051151,0.042693,0.017979,0.207472,0.048949,0.027237,0.382128,0.004648,0.100868,1.427525,0.659079,0.374083,0.372700,0.264492,0.208897,0.224546,0.236143,0.201887,0.242051,0.227420,0.258114,0.208041,0.009806,0.001924,0.034864,0.012176,0.017853,0.014385,0.086366,0.002071,0.007972,0.006678,0.029981,0.001018,0.020692,cello
0.056482,0.021274,3.074330,0.143245,0.169144,0.465743,0.006110,0.084664,-24.683648,1.971947,0.130506,0.227859,0.104625,0.097416,0.048907,0.092453,0.011560,-0.173506,-0.004431,-0.050770,0.008902,0.008666,0.003975,0.047111,0.020400,0.016624,0.006711,0.150258,0.001341,0.004831,0.009638,0.029341,0.001959,0.048768,0.029425,0.019678,0.230656,0.034600,0.021850,0.316125,0.004473,0.071486,1.143851,0.598389,0.476988,0.392418,0.347326,0.274466,0.235215,0.246482,0.273557,0.271740,0.311195,0.219929,0.224525,0.009001,0.005112,0.035684,0.027902,0.010864,0.008710,0.091715,0.001450,0.006889,0.008413,0.030957,0.002350,0.021923,cello
0.034836,0.151140,3.140222,0.113428,0.153552,0.336745,0.004285,0.049698,-21.368732,1.313047,0.746285,0.704388,0.296266,0.417641,0.036207,0.394923,0.094934,0.276503,0.185991,0.019118,-0.048143,0.007126,0.001712,0.086508,0.002437,0.024565,0.003653,0.057338,0.000864,0.001344,0.010320,0.093229,0.001433,0.042783,0.010045,0.037516,0.086501,0.016155,0.023430,0.111502,0.003133,0.023438,0.405167,0.229434,0.172969,0.166788,0.164348,0.168205,0.154851,0.167701,0.167778,0.171367,0.172729,0.168505,0.162766,0.006910,0.001416,0.040811,0.002069,0.014749,0.002696,0.036334,0.000663,0.001022,0.008566,0.049328,0.001192,0.008867,cello
0.023066,0.035133,3.108899,0.097225,0.156498,0.170882,0.010479,0.029890,-24.734808,2.979046,-0.118691,-0.504108,0.447170,-0.550943,0.142667,0.320015,-0.068635,-0.235375,-0.106085,0.026978,-0.237159,0.057761,0.009881,0.022038,0.014412,0.012539,0.005626,0.154012,0.001219,0.002989,0.011292,0.019818,0.005130,0.054248,0.008523,0.020995,0.206372,0.028282,0.032502,0.112283,0.006576,0.013288,1.081643,0.425568,0.331116,0.381365,0.300948,0.269215,0.238519,0.247210,0.218972,0.203230,0.194638,0.201967,0.217563,0.053540,0.010598,0.012813,0.013484,0.010050,0.005208,0.104054,0.001534,0.003697,0.009783,0.012970,0.006299,0.022792,cello
0.049236,0.023964,3.218444,0.156704,0.197930,0.241660,0.008132,0.053477,-26.433376,1.699008,-1.298297,-0.210872,-0.236417,-0.205197,-0.281734,-0.573888,-0.244173,0.338944,0.179952,0.386640,-0.048998,0.002321,0.001421,0.008777,0.004970,0.025820,0.019139,0.021724,0.007023,0.022132,0.011348,0.012151,0.004890,0.022820,0.013157,0.017593,0.150172,0.026987,0.022658,0.130810,0.007410,0.023498,1.839728,0.654663,0.677805,0.514049,0.379117,0.297014,0.301828,0.343691,0.328081,0.318143,0.260634,0.290896,0.215312,0.002916,0.002657,0.011420,0.005426,0.026595,0.015823,0.020989,0.010617,0.023793,0.010919,0.015624,0.005712,0.012396,cello
0.050972,0.004321,3.056424,0.131914,0.180811,0.345909,0.006766,0.062257,-26.885893,2.002784,-0.153947,0.293915,-0.181968,0.361433,0.165312,0.022348,-0.087177,0.028073,-0.090756,0.060636,-0.098343,0.022597,0.005832,0.027032,0.009896,0.024713,0.012161,0.033368,0.004210,0.007168,0.014876,0.035113,0.005508,0.019862,0.018712,0.004398,0.215668,0.028610,0.024699,0.240262,0.003606,0.036004,1.198614,0.556953,0.462911,0.316171,0.271944,0.271496,0.250396,0.206565,0.228814,0.178560,0.182884,0.187131,0.158752,0.019774,0.007908,0.016300,0.007573,0.017703,0.015380,0.023709,0.005620,0.008217,0.012735,0.028779,0.007517,0.007552,cello
